id,user_id,applicant_id,rating,add_timestamp
696,72,9,89,9/7/23 7:16
697,60,4,83,9/7/23 7:17
698,34,1,100,9/7/23 7:17
699,67,5,90,9/7/23 7:17
700,57,9,83,9/7/23 7:17
701,46,10,74,9/7/23 7:17
702,69,3,90,9/7/23 7:17
703,51,3,75,9/7/23 7:17
704,58,1,100,9/7/23 7:17
705,68,9,80,9/7/23 7:18
706,61,4,77,9/7/23 7:18
707,72,4,47,9/7/23 7:18
708,64,4,74,9/7/23 7:18
709,71,2,56,9/7/23 7:18
710,45,9,90,9/7/23 7:18
711,43,6,60,9/7/23 7:18
712,63,1,93,9/7/23 7:19
713,71,9,54,9/7/23 7:19
714,3,12,80,9/7/23 7:19
715,69,2,53,9/7/23 7:19
716,12,5,89,9/7/23 7:19
717,53,6,75,9/7/23 7:19
718,67,10,78,9/7/23 7:19
719,73,11,95,9/7/23 7:19
720,71,11,61,9/7/23 7:19
721,37,7,100,9/7/23 7:19
722,49,1,86,9/7/23 7:19
724,46,12,68,9/7/23 7:20
725,57,5,92,9/7/23 7:20
726,74,8,10,9/7/23 7:20
727,58,8,23,9/7/23 7:20
728,75,6,36,9/7/23 7:20
729,61,12,70,9/7/23 7:20
730,21,4,52,9/7/23 7:20
731,22,4,27,9/7/23 7:20
732,64,12,81,9/7/23 7:20
733,34,4,60,9/7/23 7:21
734,57,4,63,9/7/23 7:21
735,65,3,95,9/7/23 7:21
736,69,1,92,9/7/23 7:21
737,49,5,88,9/7/23 7:21
738,58,11,100,9/7/23 7:22
739,63,7,88,9/7/23 7:22
741,53,2,85,9/7/23 7:22
742,46,5,96,9/7/23 7:22
743,67,3,78,9/7/23 7:23
744,12,3,79,9/7/23 7:23
745,68,1,85,9/7/23 7:23
747,69,6,48,9/7/23 7:23
748,58,6,54,9/7/23 7:23
749,45,11,90,9/7/23 7:23
750,71,12,57,9/7/23 7:23
751,61,3,75,9/7/23 7:23
752,71,6,43,9/7/23 7:23
753,49,12,32,9/7/23 7:24
754,58,4,1,9/7/23 7:24
755,63,2,79,9/7/23 7:24
756,73,6,75,9/7/23 7:24
757,69,4,58,9/7/23 7:24
758,43,1,95,9/7/23 7:25
759,3,1,98,9/7/23 7:25
760,53,1,90,9/7/23 7:25
761,34,3,87,9/7/23 7:25
762,22,3,93,9/7/23 7:25
764,46,4,57,9/7/23 7:25
765,37,4,90,9/7/23 7:26
766,65,11,100,9/7/23 7:26
767,64,5,80,9/7/23 7:26
768,77,8,83,9/7/23 7:26
769,49,8,50,9/7/23 7:26
770,67,8,79,9/7/23 7:26
771,75,9,96,9/7/23 7:26
772,43,10,70,9/7/23 7:27
773,21,5,52,9/7/23 7:27
774,45,7,90,9/7/23 7:27
775,63,8,72,9/7/23 7:27
776,53,4,70,9/7/23 7:28
777,43,3,87,9/7/23 7:28
778,64,7,74,9/7/23 7:28
779,49,4,34,9/7/23 7:28
780,67,9,85,9/7/23 7:29
781,3,2,75,9/7/23 7:29
782,68,11,80,9/7/23 7:29
783,63,6,70,9/7/23 7:30
784,43,2,74,9/7/23 7:30
785,75,8,36,9/7/23 7:31
786,67,6,80,9/7/23 7:31
787,73,3,95,9/7/23 7:31
788,70,12,54,9/7/23 7:31
789,70,11,63,9/7/23 7:31
790,70,1,53,9/7/23 7:32
791,70,8,57,9/7/23 7:32
792,70,3,60,9/7/23 7:32
793,45,12,60,9/7/23 7:32
794,70,7,64,9/7/23 7:32
795,51,6,28,9/7/23 7:32
796,63,3,80,9/7/23 7:32
797,70,4,57,9/7/23 7:33
798,73,5,96,9/7/23 7:33
799,43,4,72,9/7/23 7:33
800,21,12,44,9/7/23 7:33
801,21,3,56,9/7/23 7:33
802,67,1,90,9/7/23 7:34
803,65,6,80,9/7/23 7:34
804,3,10,90,9/7/23 7:34
805,51,8,49,9/7/23 7:34
806,63,9,75,9/7/23 7:35
808,21,2,60,9/7/23 7:36
809,67,2,72,9/7/23 7:36
810,68,7,75,9/7/23 7:37
811,77,7,100,9/7/23 7:37
812,45,4,70,9/7/23 7:37
813,63,10,78,9/7/23 7:37
814,74,9,81,9/7/23 7:37
815,3,11,100,9/7/23 7:38
816,67,7,74,9/7/23 7:39
817,65,1,100,9/7/23 7:39
818,73,2,60,9/7/23 7:40
819,63,11,80,9/7/23 7:41
820,77,9,75,9/7/23 7:41
821,3,4,85,9/7/23 7:41
822,65,12,80,9/7/23 7:41
823,51,10,55,9/7/23 7:41
824,67,12,77,9/7/23 7:41
826,75,10,40,9/7/23 7:42
827,68,10,40,9/7/23 7:42
828,76,10,73,9/7/23 7:43
829,67,4,78,9/7/23 7:43
830,3,8,80,9/7/23 7:44
831,73,1,97,9/7/23 7:44
834,65,2,78,9/7/23 7:45
835,65,4,75,9/7/23 7:47
836,73,12,71,9/7/23 7:47
837,51,4,33,9/7/23 7:47
